year	kt	sd
1990	-11.41	0.65
1991	-11.78	0.92
1992	-12.14	1.13
1993	-12.51	1.3
1994	-12.87	1.46
1995	-13.24	1.6
1996	-13.6	1.72
1997	-13.97	1.84
1998	-14.33	1.95
1999	-14.7	2.06
2000	-15.06	2.16
2001	-15.43	2.26
2002	-15.79	2.35
2003	-16.16	2.44
2004	-16.52	2.52
2005	-16.89	2.61
2006	-17.25	2.69
2007	-17.62	2.76
2008	-17.98	2.84
2009	-18.35	2.91
2010	-18.71	2.98
2011	-19.08	3.05
2012	-19.44	3.12
2013	-19.81	3.19
2014	-20.18	3.26
2015	-20.54	3.32
2016	-20.91	3.38
2017	-21.27	3.45
2018	-21.64	3.51
2019	-22	3.57
